epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,11853.2,0.68558,1.27272,0.60805,1.04347,0.90224,0.65439,0.69464,0.58937,0.90221,0.65545,0.69417,0.55422,0.76082,1.49955,1.54609,1.1141,0.003367,0.003367,0.003367
69,12026.5,0.69525,1.28132,0.61778,1.04762,0.90934,0.65398,0.69446,0.59026,0.90695,0.65746,0.69385,0.55478,0.75811,1.4959,1.54052,1.11147,0.003268,0.003268,0.003268
70,12199.4,0.68798,1.27709,0.61022,1.04272,0.91079,0.65629,0.69486,0.59044,0.91172,0.65724,0.6945,0.55676,0.75802,1.49408,1.53498,1.11121,0.003169,0.003169,0.003169
71,12371.5,0.68261,1.26687,0.60213,1.03816,0.91154,0.65602,0.69516,0.59106,0.91279,0.65691,0.69517,0.55686,0.75806,1.4947,1.53425,1.11097,0.00307,0.00307,0.00307
72,12543.5,0.68242,1.26616,0.59423,1.04143,0.91709,0.65392,0.69542,0.59074,0.91385,0.65676,0.6955,0.55674,0.75708,1.4933,1.53224,1.11005,0.002971,0.002971,0.002971
73,12715.2,0.671,1.25717,0.59015,1.03707,0.91735,0.65627,0.69571,0.59262,0.91716,0.65739,0.69598,0.55706,0.75503,1.48977,1.52976,1.10851,0.002872,0.002872,0.002872
74,12888.2,0.67338,1.25369,0.5866,1.03501,0.91261,0.65793,0.6961,0.59403,0.91263,0.6595,0.69642,0.55735,0.75341,1.48787,1.52918,1.10707,0.002773,0.002773,0.002773
75,13060.4,0.6677,1.2418,0.58891,1.03186,0.913,0.65877,0.69646,0.59468,0.91208,0.65975,0.69648,0.55782,0.75075,1.48513,1.52917,1.1058,0.002674,0.002674,0.002674
76,13232,0.66541,1.24606,0.58241,1.03226,0.91176,0.65859,0.69703,0.59502,0.91082,0.6593,0.69662,0.55798,0.74878,1.48131,1.52905,1.1048,0.002575,0.002575,0.002575
77,13405.3,0.66732,1.22924,0.57447,1.0339,0.91087,0.65902,0.69725,0.59584,0.90754,0.66032,0.69715,0.5582,0.74807,1.47702,1.52617,1.1036,0.002476,0.002476,0.002476
78,13577.5,0.66264,1.23424,0.57167,1.0295,0.91272,0.65767,0.69756,0.59611,0.90615,0.66094,0.69723,0.55899,0.74779,1.47399,1.52727,1.10287,0.002377,0.002377,0.002377
79,13748.8,0.6654,1.23095,0.57538,1.03019,0.91372,0.65806,0.69804,0.59686,0.90716,0.6613,0.6975,0.55852,0.7462,1.4716,1.52864,1.101,0.002278,0.002278,0.002278
80,13919.3,0.65691,1.21406,0.5698,1.02725,0.91825,0.65628,0.69834,0.59771,0.91616,0.65683,0.69778,0.56002,0.74404,1.46816,1.52599,1.0988,0.002179,0.002179,0.002179
81,14090.9,0.66087,1.23069,0.56413,1.02833,0.91966,0.6558,0.69853,0.59865,0.91513,0.65803,0.69801,0.56092,0.74262,1.46546,1.52633,1.09735,0.00208,0.00208,0.00208
82,14264.7,0.65031,1.2006,0.56013,1.02549,0.92095,0.65469,0.69875,0.59876,0.92049,0.65469,0.69827,0.56087,0.74187,1.46345,1.52488,1.09675,0.001981,0.001981,0.001981
83,14441.1,0.65426,1.21159,0.56205,1.02631,0.92428,0.65397,0.69896,0.59956,0.91117,0.65954,0.69847,0.56102,0.74069,1.46242,1.52595,1.09591,0.001882,0.001882,0.001882
84,14616.4,0.64452,1.19817,0.55256,1.02266,0.91292,0.65901,0.69914,0.60008,0.91041,0.65972,0.69851,0.5623,0.73989,1.46213,1.52782,1.09549,0.001783,0.001783,0.001783
85,14790.3,0.64926,1.20198,0.55024,1.02141,0.91038,0.65957,0.69939,0.60119,0.90918,0.65989,0.69871,0.56297,0.73906,1.46187,1.52892,1.09482,0.001684,0.001684,0.001684
86,14963.9,0.6426,1.19673,0.54778,1.02235,0.9072,0.66109,0.69947,0.60145,0.90677,0.66105,0.69901,0.56346,0.73774,1.45957,1.52712,1.09393,0.001585,0.001585,0.001585
87,15138.6,0.63919,1.17803,0.53784,1.02065,0.90581,0.66165,0.69963,0.60123,0.89703,0.66703,0.69908,0.56317,0.73713,1.45829,1.52791,1.09359,0.001486,0.001486,0.001486
88,15312.5,0.63767,1.18416,0.53958,1.01769,0.90195,0.66459,0.69991,0.60122,0.90145,0.66547,0.69925,0.56323,0.73653,1.45791,1.52749,1.09305,0.001387,0.001387,0.001387
89,15486.4,0.63929,1.19088,0.54154,1.01745,0.89897,0.66724,0.70008,0.60096,0.89773,0.66759,0.6995,0.56407,0.73573,1.45804,1.52862,1.09214,0.001288,0.001288,0.001288
90,15660.3,0.63215,1.16857,0.53683,1.01381,0.89901,0.66876,0.70025,0.60101,0.89851,0.66864,0.69973,0.56542,0.73471,1.45709,1.52764,1.09092,0.001189,0.001189,0.001189
91,15827,0.54061,1.04406,0.4024,0.97921,0.89515,0.67152,0.7004,0.60138,0.89459,0.67135,0.69988,0.56504,0.7336,1.45647,1.52608,1.08974,0.00109,0.00109,0.00109
92,15989.1,0.52937,1.01907,0.38134,0.97292,0.89425,0.67133,0.70056,0.6029,0.89428,0.67089,0.70016,0.56465,0.73221,1.45571,1.52678,1.08816,0.000991,0.000991,0.000991
93,16149.9,0.52405,1.00878,0.37634,0.96802,0.89598,0.67177,0.70094,0.6033,0.89505,0.67137,0.70039,0.56543,0.73033,1.45392,1.52647,1.08665,0.000892,0.000892,0.000892
94,16311.1,0.51562,0.99097,0.36866,0.96273,0.89663,0.67164,0.70109,0.60355,0.89569,0.67124,0.70056,0.56652,0.7287,1.45224,1.52645,1.08546,0.000793,0.000793,0.000793
95,16472.3,0.51011,0.9961,0.36282,0.95972,0.8967,0.67255,0.70157,0.60386,0.89582,0.67221,0.70102,0.5669,0.72767,1.45105,1.52463,1.08467,0.000694,0.000694,0.000694
96,16634.7,0.50628,0.98264,0.35904,0.95857,0.8997,0.67269,0.70225,0.60483,0.89878,0.67232,0.70189,0.56717,0.7268,1.4504,1.52342,1.08398,0.000595,0.000595,0.000595
97,16797.6,0.50411,0.97994,0.3523,0.95389,0.89913,0.67434,0.7024,0.60494,0.89819,0.67394,0.70205,0.56769,0.72595,1.44857,1.52281,1.08311,0.000496,0.000496,0.000496
98,16963.2,0.50232,0.97615,0.3507,0.95612,0.89942,0.67336,0.70259,0.60489,0.8984,0.67289,0.70221,0.56807,0.72466,1.44716,1.52057,1.08211,0.000397,0.000397,0.000397
99,17126.9,0.49502,0.96908,0.3463,0.95168,0.90124,0.67234,0.70277,0.60567,0.90137,0.6718,0.70244,0.56869,0.72356,1.44667,1.5195,1.0813,0.000298,0.000298,0.000298
100,17292.6,0.49136,0.96539,0.34352,0.94715,0.90241,0.6719,0.70285,0.60592,0.90147,0.6715,0.70254,0.5689,0.72248,1.44579,1.51855,1.08033,0.000199,0.000199,0.000199
